"name","release","popularity"
"Pretty Little Stalker","2018-12-11",5.468
"Christmas with a Prince","2018-12-09",4.907
"High Resolution","2018-10-01",3.27
"Alad'2","2018-10-03",5.893
"Nos batailles","2018-10-03",3.871
"La fuitina sbagliata","2018-10-11",3.933
"Struggle: The Life and Lost Art of Szukalski","2018-12-21",5.967
"Mail Order Monster","2018-11-06",3.175
"A Veteran's Christmas","2018-11-11",4.032
"Mr. 365","2018-12-15",6.747
"Springsteen On Broadway","2018-12-16",4.456
"Christmas Everlasting","2018-11-24",3.186
"ஆண் தேவதை","2018-10-12",5.721
"Possum","2018-10-26",5.398
"The Girl in the Orange Dress","2018-12-25",5.083
"2.0","2018-11-29",4.799
"Maine","2018-12-13",3.607
"Christmas Camp","2018-12-20",4.4
"Selling Isobel","2018-10-07",4.152
"Outlaws","2018-10-18",3.374
"Capri-Revolution","2018-12-13",3.098
"Flight of the Conchords: Live in London","2018-10-06",5.13
"Thugs of Hindostan","2018-11-07",3.488
"Frères Ennemis","2018-10-03",6.127
"Happy New Year, Colin Burstead","2018-10-11",4.28
"Exterminadores do Além Contra a Loira do Banheiro","2018-11-29",4.641
"Christmas in Evergreen: Letters to Santa","2018-11-18",4.015
"Chacun pour tous","2018-10-31",4.41
"No Escape Room","2018-10-06",4.321
"Malevolence 3: Killer","2018-10-11",3.854
"Jingle Around the Clock","2018-12-22",4.049
"Trevor Noah: Son of Patricia","2018-11-20",6.339
"Nazi Overlord","2018-11-13",5.516
"Betrayed","2018-10-02",3.212
"Christmas at Graceland","2018-11-17",4.684
"Ray & Liz","2018-10-06",4.886
"303","2018-12-06",3.446
"번 더 스테이지: 더 무비","2018-11-15",4.915
"X - The eXploited","2018-11-01",3.689
"Return to Christmas Creek","2018-11-18",4.598
"The Long Dumb Road","2018-11-09",4.183
"Harmony","2018-10-04",4.303
"River Runs Red","2018-11-09",4.183
"Buttons","2018-12-08",5.636
"Joe Rogan: Strange Times","2018-10-02",4.424
"De Dirigent","2018-10-25",3.051
"The House of Violent Desire","2018-10-05",3.404
"Tyrel","2018-12-05",3.861
"Homegrown Christmas","2018-12-08",3.695
"Psycho Prom Queen","2018-11-04",4.186
"Jonas","2018-11-23",4.329
"Voyez comme on danse","2018-10-10",4.319
"Lez Bomb","2018-11-09",6.207
"High Voltage","2018-10-19",2.875
"Love, of Course","2018-10-20",2.644
"Der Vorname","2018-10-18",6.029
"The Legend of Halloween Jack","2018-10-02",2.555
"Road to Christmas","2018-11-04",6.427
"Ánimas","2018-10-05",3.527
"Unlovable","2018-11-01",3.243
"Make Us Dream","2018-11-15",4.621
"End of the World","2018-12-20",5.637
"Cinderella and the Secret Prince","2018-10-01",4.155
"After the Screaming Stops","2018-11-09",4.162
"A Crooked Somebody","2018-10-05",3.84
"Revenge of the Mask","2018-11-30",4.091
"Christmas Made to Order","2018-12-23",2.921
"மாரி 2","2018-12-21",2.547
"Blue My Mind","2018-10-04",3.138
"Orphan Horse","2018-11-20",5.391
"Shut Up and Play the Piano","2018-10-03",2.253
"A Wedding for Christmas","2018-11-25",6.03
"Eerie","2018-12-03",2.759
"Divide and Conquer: The Story of Roger Ailes","2018-12-07",2.833
"Christmas Around the Corner","2018-12-14",6.809
"Christmas Pen Pals","2018-12-15",3.103
"Tiger","2018-11-30",3.401
"Tiempo después","2018-12-28",3.586
"Above Majestic","2018-10-30",3.626
"Styx","2018-11-22",3.007
"Killer Kate!","2018-10-26",2.144
"Mo Amer: The Vagabond","2018-10-08",3.69
"30 Miles from Nowhere","2018-11-24",3.873
"Ron White: If You Quit Listening, I'll Shut Up","2018-10-16",4.093
"A Christmas in Royal Fashion","2018-12-16",5.154
"Welcome to Christmas","2018-12-09",2.8
"Christmas Perfection","2018-11-25",3.037
"Alone We Fight","2018-11-06",3.998
"96","2018-10-04",4.999
"Welcome to Mercy","2018-11-02",2.922
"Bayou Caviar","2018-10-05",7.792
"Hospitality","2018-12-07",4.956
"Alcatraz","2018-11-06",5.13
"Снежная Королева: Зазеркалье","2018-12-21",5.81
"Pimp","2018-11-09",2.44
"Student Athlete","2018-10-02",2.527
"RuPaul's Drag Race Holi-slay Spectacular","2018-12-07",4.102
"Несокрушимый","2018-10-25",3.438
"Derren Brown: Sacrifice","2018-10-19",4.671
"Sex Weather","2018-10-01",3.232
"The Parting Glass","2018-10-06",3.339
"Weed the People","2018-10-16",4.167
"The School","2018-10-04",2.633
"Porta dos Fundos: Se Beber, Não Ceie","2018-12-21",4.453
"Hometown Holiday","2018-11-13",6.055
"The Necromancer","2018-10-26",3.094
"The Cabin","2018-12-04",3.954
"Daddy's Girl","2018-10-04",3.177
"Krampus Origins","2018-11-06",3.43
"The Great Buster: A Celebration","2018-10-05",3.438
"I'll Be Next Door for Christmas","2018-12-04",3.023
"Hide in the Light","2018-10-23",2.395
"Flesh & Blood","2018-11-02",3.335
"Nativity Rocks!","2018-11-23",2.708
"Time Jumpers","2018-12-01",3.151
"Gosnell: The Trial of America's Biggest Serial Killer","2018-10-12",4.509
"Проигранное место","2018-11-01",1.313
"Lifechanger","2018-10-01",2.981
"Sadie","2018-10-12",3.317
"Antrum","2018-10-14",3.642
"The Harvesting","2018-12-06",3.141
"All Square","2018-10-12",3.922
"Falling for You","2018-10-06",3.959
"Pachamama","2018-12-12",2.533
"Invoking 5","2018-10-09",2.951
"A Twist of Christmas","2018-12-01",4.756
"[Cargo]","2018-11-13",3.185
"My Christmas Inn","2018-11-21",3.08
"DeadTectives","2018-10-01",3.205
"வடசென்னை","2018-10-17",3.728
"American Exorcist","2018-10-26",2.385
"Under the Autumn Moon","2018-10-13",2.842
"Killer High","2018-10-20",2.985
"Outlawed","2018-10-02",3.557
"L'Amour flou","2018-10-10",3.29
"O Doutrinador","2018-11-01",4.198
"Born Racer","2018-10-02",2.166
"Petra","2018-10-19",1.876
"In a Relationship","2018-11-09",5.078
"Hölmö nuori sydän","2018-10-12",2.961
"சர்கார்","2018-11-06",3.087
"Drug$","2018-12-15",2.106
"Rams","2018-11-28",3.22
"Miamor perdido","2018-12-14",3.056
"Realms","2018-10-14",4.193
"암수살인","2018-10-03",3.853
"Entertaining Christmas","2018-12-15",3.101
"Кислота","2018-10-04",3.147
"Christmas Break-In","2018-12-27",3.816
"1985","2018-10-26",3.444
"Shangri-La: Near Extinction","2018-10-02",2.872
"John & Yoko: Above Us Only Sky","2018-11-24",4.03
"Christmas Bells Are Ringing","2018-12-23",3.211
"ReMastered: Who Shot the Sheriff","2018-10-12",4.066
"Tinker'","2018-11-16",4.64
"Rojo","2018-10-26",3.988
"A Very Nutty Christmas","2018-11-30",6.493
"Menocchio","2018-11-08",2.368
"Never Heard","2018-11-01",4.178
"Howard Lovecraft and the Kingdom of Madness","2018-12-04",4.117
"सिंम्बा","2018-12-28",4.254
"King of Crime","2018-11-02",2.49
"Maya","2018-12-19",2.265
"Strangeways Here We Come","2018-10-05",4.175
"นาคี ๒","2018-10-18",2.785
"துப்பாக்கி முனை","2018-12-14",2.544
"Operation Ragnarök","2018-12-07",3.182
"എന്‍റെ ഉമ്മാന്‍റെ പേര്","2018-12-21",3.487
"A Christmas Switch","2018-11-04",5.568
"劇場版 はいからさんが通る 後編 ～花の東京大ロマン～","2018-10-19",3.025
"Lola et ses frères","2018-11-28",4.259
"Puppy Star Christmas","2018-11-20",4.021
"The Trump Prophecy","2018-10-02",2.486
"Bullitt County","2018-10-26",2.168
"Pocketman and Cargoboy","2018-10-12",2.731
"Love Jacked","2018-12-07",1.905
"Teddy Pendergrass: If You Don't Know Me","2018-10-26",2.699
"A Midnight Kiss","2018-12-29",2.419
"Nae Pasaran","2018-11-02",2.268
"What We Left Behind: Looking Back at Star Trek: Deep Space Nine","2018-10-12",4.094
"Hellmington","2018-10-27",2.885
"Alpha Wolf","2018-11-13",2.958
"A Gingerbread Romance","2018-12-16",3.137
"Big Kill","2018-10-19",3.501
"Pooka!","2018-12-07",3.604
"Don't Open Your Eyes","2018-10-31",2.574
"VS.","2018-10-19",2.579
"Dead in the Water","2018-10-27",3.252
"ReMastered: Tricky Dick & The Man in Black","2018-11-02",4.064
"Tia and Piujuq","2018-12-23",1.381
"சிலுக்குவார்பட்டி சிங்கம்","2018-12-21",3.792
"Uno di famiglia","2018-10-25",3.095
"New Year, New You","2018-12-28",3.639
"American Dream/American Knightmare","2018-12-21",3.406
"يوم الدين","2018-11-21",2.488
"நோட்டா","2018-10-05",2.386
"The Ghost Beyond","2018-12-04",4.689
"Christmas Wonderland","2018-12-02",4.095
"A Christmas for the Books","2018-12-11",5.359
"誰先愛上他的","2018-11-02",3.127
"இவனுக்கு எங்கேயோ மச்சம் இருக்கு","2018-12-07",3.193
"Watch If You Dare","2018-11-08",2.61
"In viaggio con Adele","2018-10-18",1.888
"Hope at Christmas","2018-11-20",3.016
"केदारनाथ","2018-12-07",3.615
"Kemper on Kemper: Inside the Mind of a Serial Killer","2018-10-10",3.346
"Invisible Sue","2018-10-22",1.459
"Fantasma","2018-11-01",2.242
"Stella's Last Weekend","2018-10-12",2.843
"Hocus Pocus 25th Anniversary Halloween Bash","2018-10-14",3.744
"Aïlo : Une odyssée en Laponie","2018-12-21",3.229
"Hello Guru Prema Kosame","2018-10-18",4.043
"Scarborough","2018-10-13",2.477
"The Bray Road Beast","2018-10-01",2.18
"Running Out of Time","2018-12-01",3.338
"Mickey’s 90th Spectacular","2018-10-16",2.816
"Les bonnes intentions","2018-11-21",2.53
"#Female Pleasure","2018-11-08",1.89
"Le jour où j'ai brûlé mon coeur","2018-11-05",3.029
